"","num","otu","pvalue","relation","Rootstock","Compartment"
"1","26","Otu00028",0.0315,0.189287755908534,"Nongraft","Rhizosphere"
"2","61","Otu00088",0.0137,0.253861812297708,"Nongraft","Rhizosphere"
"3","80","Otu00128",0.0365,0.177716201120002,"Nongraft","Rhizosphere"
"4","92","Otu00151",0.0437,0.163209096098981,"Nongraft","Rhizosphere"
"5","99","Otu00164",0.0098,0.278527445935553,"Nongraft","Rhizosphere"
"6","102","Otu00170",0.0456,0.159760265604067,"Nongraft","Rhizosphere"
"7","125","Otu00245",0.0384,0.173597327011153,"Nongraft","Rhizosphere"
"8","133","Otu00266",0.0471,0.157187639998277,"Nongraft","Rhizosphere"
"9","140","Otu00283",0.0169,0.237686996043271,"Nongraft","Rhizosphere"
"10","142","Otu00288",0.0229,0.21450165543692,"Nongraft","Rhizosphere"
"11","173","Otu00487",0.0315,0.189390143013231,"Nongraft","Rhizosphere"
"12","183","Otu00565",0.0019,0.392130553377031,"Nongraft","Rhizosphere"
"13","192","Otu00627",0.03,0.193138840281945,"Nongraft","Rhizosphere"
"14","1","Otu00001",0.0498,0.152621664340262,"Selfgraft","Rhizosphere"
"15","30","Otu00033",0.019,0.228968666492838,"Selfgraft","Rhizosphere"
"16","75","Otu00110",0.0045,0.333736609220335,"Selfgraft","Rhizosphere"
"17","85","Otu00134",0.0297,0.194062928275858,"Selfgraft","Rhizosphere"
"18","98","Otu00164",0.0134,0.255549904726887,"Selfgraft","Rhizosphere"
"19","143","Otu00288",0.0403,0.169706856320049,"Selfgraft","Rhizosphere"
"20","215","Otu01733",0.0488,0.154198720118566,"Selfgraft","Rhizosphere"
"21","54","Otu00075",0.0447,0.161407043368716,"RST-04-106","Rhizosphere"
"22","59","Otu00080",0.0363,0.178205866541187,"RST-04-106","Rhizosphere"
"23","71","Otu00102",0.0149,0.24764113158189,"RST-04-106","Rhizosphere"
"24","126","Otu00248",0.0157,0.243251550103006,"RST-04-106","Rhizosphere"
"25","156","Otu00349",0.0048,0.328814721292007,"RST-04-106","Rhizosphere"
"26","163","Otu00398",0.0482,0.155201680913401,"RST-04-106","Rhizosphere"
"27","179","Otu00494",0.0201,0.224475956954355,"RST-04-106","Rhizosphere"
"28","30","Otu00031",0.0253,0.20668540393027,"Maxifort","Rhizosphere"
"29","54","Otu00072",0.0158,0.242828258782145,"Maxifort","Rhizosphere"
"30","108","Otu00172",0.0398,0.170650799248824,"Maxifort","Rhizosphere"
"31","110","Otu00174",0.0322,0.187680639857977,"Maxifort","Rhizosphere"
"32","149","Otu00280",0.0221,0.217357551782537,"Maxifort","Rhizosphere"
"33","151","Otu00283",0.0301,0.192868942639218,"Maxifort","Rhizosphere"
"34","152","Otu00284",0.0146,0.248970072949177,"Maxifort","Rhizosphere"
"35","156","Otu00292",0.0316,0.18915480109553,"Maxifort","Rhizosphere"
"36","165","Otu00331",0.012,0.263774792154742,"Maxifort","Rhizosphere"
"37","181","Otu00398",0.0052,0.323682242087028,"Maxifort","Rhizosphere"
"38","192","Otu00469",0.0056,0.318687992915879,"Maxifort","Rhizosphere"
"39","205","Otu00559",0.006,0.314281545186463,"Maxifort","Rhizosphere"
"40","210","Otu00607",0.0335,0.184424985821832,"Maxifort","Rhizosphere"
"41","225","Otu00679",0.0205,0.223212648960295,"Maxifort","Rhizosphere"
"42","229","Otu00723",0.05,0.152362896781586,"Maxifort","Rhizosphere"
"43","257","Otu01054",0.0339,0.183454170992988,"Maxifort","Rhizosphere"
"44","258","Otu01079",0.009,0.284612524904697,"Maxifort","Rhizosphere"
"45","265","Otu01585",0.0105,0.273493372842471,"Maxifort","Rhizosphere"
"46","269","Otu01945",0.0083,0.29079336535673,"Maxifort","Rhizosphere"
"47","1","Otu00001",0.0277,0.199698650457809,"Selfgraft","Endosphere"
"48","14","Otu00015",0.0036,0.349845050716158,"Selfgraft","Endosphere"
"49","22","Otu00023",0.0015,0.405058559445804,"Selfgraft","Endosphere"
"50","30","Otu00033",0.0475,0.156441672606941,"Selfgraft","Endosphere"
"51","47","Otu00073",0.0336,0.184318421215411,"Selfgraft","Endosphere"
"52","56","Otu00092",0.0271,0.201243266831756,"Selfgraft","Endosphere"
"53","60","Otu00103",0.03,0.193363486719056,"Selfgraft","Endosphere"
"54","76","Otu00176",0.032,0.188145485227148,"Selfgraft","Endosphere"
"55","93","Otu00495",0.0283,0.19775865121718,"Selfgraft","Endosphere"
"56","100","Otu00612",0.0182,0.232293512937366,"Selfgraft","Endosphere"
"57","102","Otu00695",0.0242,0.210054914549867,"Selfgraft","Endosphere"
"58","103","Otu00702",0.0018,0.396208246004643,"Selfgraft","Endosphere"
"59","105","Otu00815",0.0277,0.199680605808759,"Selfgraft","Endosphere"
"60","108","Otu00887",0.0401,0.170081883340449,"Selfgraft","Endosphere"
"61","47","Otu00075",0.0339,0.183643169711501,"RST-04-106","Endosphere"
"62","60","Otu00119",0.0449,0.161056510451332,"RST-04-106","Endosphere"
"63","17","Otu00018",0.0379,0.174562494788603,"Maxifort","Endosphere"
"64","22","Otu00023",0.0352,0.180629379173079,"Maxifort","Endosphere"
"65","29","Otu00031",0.0311,0.19036642401716,"Maxifort","Endosphere"
"66","34","Otu00036",0.0123,0.262080710890341,"Maxifort","Endosphere"
"67","76","Otu00149",0.0219,0.21803535049918,"Maxifort","Endosphere"
"68","88","Otu00222",0.0278,0.199404269965463,"Maxifort","Endosphere"
"69","123","Otu00736",0.0211,0.220823917355302,"Maxifort","Endosphere"
